"","bin","presence_count","presence_category","mags_direction_consistency"
"1","ND35_MAG_00002",1,"Present only once","Consistent"
"2","ND35_MAG_00003",3,"Present in all 3 dates","Consistent"
"3","ND35_MAG_00005",2,"Present in 2 dates","Consistent"
"4","ND35_MAG_00006",3,"Present in all 3 dates","Consistent"
"5","ND35_MAG_00007",1,"Present only once","Consistent"
"6","ND35_MAG_00008",1,"Present only once","Consistent"
"7","ND35_MAG_00009",3,"Present in all 3 dates","Consistent"
"8","ND35_MAG_00010",1,"Present only once","Consistent"
"9","ND35_MAG_00012",3,"Present in all 3 dates","Consistent"
"10","ND35_MAG_00014",2,"Present in 2 dates","Consistent"
"11","ND35_MAG_00015",3,"Present in all 3 dates","Consistent"
"12","ND35_MAG_00016",3,"Present in all 3 dates","Consistent"
"13","ND35_MAG_00018",1,"Present only once","Consistent"
"14","ND35_MAG_00020",3,"Present in all 3 dates","Consistent"
"15","ND35_MAG_00021",1,"Present only once","Consistent"
"16","ND35_MAG_00022",2,"Present in 2 dates","Consistent"
"17","ND35_MAG_00023",3,"Present in all 3 dates","Consistent"
"18","ND35_MAG_00024",1,"Present only once","Consistent"
"19","ND35_MAG_00026",2,"Present in 2 dates","Consistent"
"20","ND35_MAG_00027",1,"Present only once","Consistent"
"21","ND35_MAG_00028",2,"Present in 2 dates","Variable"
"22","ND35_MAG_00029",3,"Present in all 3 dates","Consistent"
"23","ND35_MAG_00030",3,"Present in all 3 dates","Consistent"
"24","ND35_MAG_00031",3,"Present in all 3 dates","Consistent"
"25","ND35_MAG_00032",1,"Present only once","Consistent"
"26","ND35_MAG_00034",1,"Present only once","Consistent"
"27","ND35_MAG_00035",2,"Present in 2 dates","Consistent"
"28","ND35_MAG_00036",3,"Present in all 3 dates","Consistent"
"29","ND35_MAG_00037",3,"Present in all 3 dates","Consistent"
"30","ND35_MAG_00038",1,"Present only once","Consistent"
"31","ND35_MAG_00039",3,"Present in all 3 dates","Consistent"
"32","ND35_MAG_00040",1,"Present only once","Consistent"
"33","ND35_MAG_00041",3,"Present in all 3 dates","Consistent"
"34","ND35_MAG_00042",3,"Present in all 3 dates","Consistent"
"35","ND35_MAG_00043",2,"Present in 2 dates","Consistent"
"36","ND35_MAG_00044",3,"Present in all 3 dates","Variable"
"37","ND35_MAG_00045",3,"Present in all 3 dates","Variable"
"38","ND42_MAG_00001",1,"Present only once","Consistent"
"39","ND42_MAG_00005",1,"Present only once","Consistent"
"40","ND42_MAG_00008",1,"Present only once","Consistent"
"41","ND42_MAG_00009",1,"Present only once","Consistent"
"42","ND42_MAG_00011",3,"Present in all 3 dates","Consistent"
"43","ND42_MAG_00012",2,"Present in 2 dates","Consistent"
"44","ND42_MAG_00013",1,"Present only once","Consistent"
"45","ND42_MAG_00017",1,"Present only once","Consistent"
"46","ND42_MAG_00019",2,"Present in 2 dates","Consistent"
"47","ND42_MAG_00022",2,"Present in 2 dates","Consistent"
"48","ND42_MAG_00023",2,"Present in 2 dates","Consistent"
"49","ND42_MAG_00025",2,"Present in 2 dates","Consistent"
"50","ND42_MAG_00029",2,"Present in 2 dates","Consistent"
"51","ND42_MAG_00031",1,"Present only once","Consistent"
"52","ND42_MAG_00032",1,"Present only once","Consistent"
"53","ND42_MAG_00034",1,"Present only once","Consistent"
"54","ND42_MAG_00035",3,"Present in all 3 dates","Consistent"
"55","ND42_MAG_00036",3,"Present in all 3 dates","Consistent"
"56","ND42_MAG_00037",2,"Present in 2 dates","Consistent"
"57","ND42_MAG_00038",2,"Present in 2 dates","Consistent"
"58","ND42_MAG_00041",1,"Present only once","Consistent"
"59","ND42_MAG_00042",2,"Present in 2 dates","Consistent"
"60","ND42_MAG_00043",3,"Present in all 3 dates","Consistent"
"61","ND42_MAG_00045",1,"Present only once","Consistent"
"62","ND42_MAG_00047",2,"Present in 2 dates","Consistent"
"63","ND42_MAG_00048",1,"Present only once","Consistent"
"64","ND42_MAG_00052",3,"Present in all 3 dates","Variable"
"65","ND42_MAG_00053",2,"Present in 2 dates","Consistent"
"66","ND42_MAG_00054",1,"Present only once","Consistent"
"67","ND42_MAG_00060",2,"Present in 2 dates","Consistent"
"68","ND42_MAG_00062",3,"Present in all 3 dates","Consistent"
"69","ND42_MAG_00063",1,"Present only once","Consistent"
"70","ND42_MAG_00064",1,"Present only once","Consistent"
"71","ND42_MAG_00065",2,"Present in 2 dates","Consistent"
"72","ND42_MAG_00066",2,"Present in 2 dates","Variable"
"73","ND42_MAG_00067",3,"Present in all 3 dates","Consistent"
"74","ND42_MAG_00071",1,"Present only once","Consistent"
"75","ND42_MAG_00073",1,"Present only once","Consistent"
"76","ND42_MAG_00074",3,"Present in all 3 dates","Variable"
"77","ND42_MAG_00076",2,"Present in 2 dates","Consistent"
"78","ND42_MAG_00077",2,"Present in 2 dates","Consistent"
"79","ND50_MAG_00001",2,"Present in 2 dates","Consistent"
"80","ND50_MAG_00002",3,"Present in all 3 dates","Variable"
"81","ND50_MAG_00003",1,"Present only once","Consistent"
"82","ND50_MAG_00006",3,"Present in all 3 dates","Consistent"
"83","ND50_MAG_00007",3,"Present in all 3 dates","Consistent"
"84","ND50_MAG_00009",1,"Present only once","Consistent"
"85","ND50_MAG_00010",3,"Present in all 3 dates","Consistent"
"86","ND50_MAG_00012",2,"Present in 2 dates","Consistent"
"87","ND50_MAG_00014",2,"Present in 2 dates","Consistent"
"88","ND50_MAG_00015",3,"Present in all 3 dates","Consistent"
"89","ND50_MAG_00016",1,"Present only once","Consistent"
"90","ND50_MAG_00017",2,"Present in 2 dates","Consistent"
"91","ND50_MAG_00018",3,"Present in all 3 dates","Consistent"
"92","ND50_MAG_00020",2,"Present in 2 dates","Consistent"
"93","ND50_MAG_00021",3,"Present in all 3 dates","Variable"
"94","ND50_MAG_00022",3,"Present in all 3 dates","Variable"
"95","ND50_MAG_00023",2,"Present in 2 dates","Variable"
"96","ND50_MAG_00024",3,"Present in all 3 dates","Consistent"
"97","ND50_MAG_00025",1,"Present only once","Consistent"
"98","ND50_MAG_00027",3,"Present in all 3 dates","Consistent"
"99","ND50_MAG_00029",1,"Present only once","Consistent"
"100","ND50_MAG_00030",2,"Present in 2 dates","Consistent"
"101","ND50_MAG_00031",2,"Present in 2 dates","Consistent"
"102","ND50_MAG_00033",1,"Present only once","Consistent"
"103","ND50_MAG_00035",2,"Present in 2 dates","Consistent"
"104","ND50_MAG_00036",1,"Present only once","Consistent"
"105","ND50_MAG_00037",2,"Present in 2 dates","Consistent"
"106","ND50_MAG_00038",2,"Present in 2 dates","Consistent"
"107","ND50_MAG_00039",3,"Present in all 3 dates","Consistent"
"108","ND50_MAG_00040",2,"Present in 2 dates","Consistent"
"109","ND50_MAG_00041",3,"Present in all 3 dates","Consistent"
"110","ND50_MAG_00042",1,"Present only once","Consistent"
"111","ND50_MAG_00043",3,"Present in all 3 dates","Consistent"
"112","ND50_MAG_00044",3,"Present in all 3 dates","Consistent"
"113","ND50_MAG_00045",3,"Present in all 3 dates","Consistent"
"114","ND50_MAG_00046",3,"Present in all 3 dates","Consistent"
"115","ND50_MAG_00048",2,"Present in 2 dates","Consistent"
"116","ND50_MAG_00050",2,"Present in 2 dates","Consistent"
"117","ND50_MAG_00051",2,"Present in 2 dates","Variable"
"118","ND50_MAG_00052",2,"Present in 2 dates","Consistent"
"119","ND50_MAG_00053",3,"Present in all 3 dates","Consistent"
"120","ND50_MAG_00054",3,"Present in all 3 dates","Consistent"
"121","ND50_MAG_00055",3,"Present in all 3 dates","Variable"
"122","ND50_MAG_00056",2,"Present in 2 dates","Consistent"
"123","ND50_MAG_00057",3,"Present in all 3 dates","Consistent"
"124","ND50_MAG_00058",2,"Present in 2 dates","Consistent"
"125","ND50_MAG_00059",3,"Present in all 3 dates","Consistent"
"126","ND50_MAG_00060",3,"Present in all 3 dates","Consistent"
"127","ND57_MAG_00001",1,"Present only once","Consistent"
"128","ND57_MAG_00002",2,"Present in 2 dates","Consistent"
"129","ND57_MAG_00003",3,"Present in all 3 dates","Consistent"
"130","ND57_MAG_00004",3,"Present in all 3 dates","Consistent"
"131","ND57_MAG_00005",3,"Present in all 3 dates","Consistent"
"132","ND57_MAG_00006",1,"Present only once","Consistent"
"133","ND57_MAG_00007",2,"Present in 2 dates","Consistent"
"134","ND57_MAG_00009",1,"Present only once","Consistent"
"135","ND57_MAG_00010",3,"Present in all 3 dates","Consistent"
"136","ND57_MAG_00011",3,"Present in all 3 dates","Consistent"
"137","ND57_MAG_00012",1,"Present only once","Consistent"
"138","ND57_MAG_00014",3,"Present in all 3 dates","Consistent"
"139","ND57_MAG_00016",1,"Present only once","Consistent"
"140","ND57_MAG_00017",2,"Present in 2 dates","Consistent"
"141","ND57_MAG_00018",3,"Present in all 3 dates","Consistent"
"142","ND57_MAG_00020",3,"Present in all 3 dates","Consistent"
"143","ND57_MAG_00021",1,"Present only once","Consistent"
"144","ND57_MAG_00023",2,"Present in 2 dates","Variable"
"145","ND57_MAG_00025",3,"Present in all 3 dates","Variable"
"146","ND57_MAG_00026",3,"Present in all 3 dates","Consistent"
"147","ND57_MAG_00027",3,"Present in all 3 dates","Consistent"
"148","ND57_MAG_00028",1,"Present only once","Consistent"
"149","ND57_MAG_00029",1,"Present only once","Consistent"
"150","ND57_MAG_00030",1,"Present only once","Consistent"
"151","ND57_MAG_00031",1,"Present only once","Consistent"
"152","ND57_MAG_00032",1,"Present only once","Consistent"
"153","ND57_MAG_00033",2,"Present in 2 dates","Consistent"
"154","ND57_MAG_00034",3,"Present in all 3 dates","Consistent"
"155","ND57_MAG_00035",2,"Present in 2 dates","Consistent"
"156","ND57_MAG_00036",3,"Present in all 3 dates","Consistent"
"157","ND57_MAG_00037",3,"Present in all 3 dates","Consistent"
"158","ND57_MAG_00038",3,"Present in all 3 dates","Variable"
"159","ND57_MAG_00040",3,"Present in all 3 dates","Consistent"
"160","ND57_MAG_00041",1,"Present only once","Consistent"
"161","ND57_MAG_00042",3,"Present in all 3 dates","Consistent"
"162","ND57_MAG_00043",1,"Present only once","Consistent"
"163","ND57_MAG_00044",2,"Present in 2 dates","Consistent"
"164","ND57_MAG_00045",1,"Present only once","Consistent"
"165","ND57_MAG_00046",1,"Present only once","Consistent"
"166","ND57_MAG_00047",1,"Present only once","Consistent"
"167","ND57_MAG_00048",3,"Present in all 3 dates","Consistent"
"168","ND57_MAG_00049",3,"Present in all 3 dates","Consistent"
"169","ND57_MAG_00050",1,"Present only once","Consistent"
"170","ND57_MAG_00051",1,"Present only once","Consistent"
"171","ND57_MAG_00053",1,"Present only once","Consistent"
"172","ND57_MAG_00054",1,"Present only once","Consistent"
"173","ND57_MAG_00055",1,"Present only once","Consistent"
"174","ND57_MAG_00056",3,"Present in all 3 dates","Consistent"
"175","ND57_MAG_00057",3,"Present in all 3 dates","Consistent"
"176","ND57_MAG_00058",3,"Present in all 3 dates","Consistent"
"177","ND57_MAG_00059",3,"Present in all 3 dates","Variable"
"178","ND57_MAG_00060",3,"Present in all 3 dates","Variable"
"179","ND57_MAG_00061",3,"Present in all 3 dates","Variable"
"180","ND57_MAG_00062",3,"Present in all 3 dates","Consistent"
"181","ND57_MAG_00063",3,"Present in all 3 dates","Consistent"
